FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
24435,319,1993,5,12,5/12/1993,12:30:00,3,TN,47,7,0,0,0,3,0,36.4,-84.82,36.4,-84.82,0.8,23,0.000148
24520,660,1993,6,30,6/30/1993,18:00:00,3,TN,47,8,0,1,0,3,0,36.08,-83.93,36.08,-83.93,2,10,0.000147
24524,665,1993,6,30,6/30/1993,18:42:00,3,TN,47,9,0,0,0,2,0,35.98,-83.98,35.98,-83.98,1,10,0.000147
24569,131,1994,4,15,4/15/1994,10:30:00,3,TN,47,1,3,9,1,6,0,35.32,-85,35.43,-84.48,15,880,0.531507
24578,252,1994,4,27,4/27/1994,12:15:00,3,TN,47,2,0,0,0,2,0,35.45,-84.6,35.45,-84.6,0.1,10,0.000146
24594,371,1994,5,14,5/14/1994,17:00:00,3,TN,47,4,0,0,0,3,0,35.6,-85.33,35.6,-85.33,0.2,23,0.000146
24612,615,1994,6,26,6/26/1994,19:15:00,3,TN,47,18,2,0,0,5,0,35.33,-85.32,35.33,-85.32,2,100,0.000146
24616,195,1995,4,21,4/21/1995,0:20:00,3,TN,47,8,0,0,0,5,0,35.07,-85.32,35.07,-85.32,0.1,30,0.000146
24621,196,1995,4,21,4/21/1995,0:25:00,3,TN,47,9,2,0,0,5,0,35.15,-85.28,35.05,-85.28,5,330,0.1
24628,197,1995,4,21,4/21/1995,0:30:00,3,TN,47,10,1,0,0,5,0,35.05,-85.28,35.05,-85.28,1,300,0.000146
24637,329,1995,5,10,5/10/1995,21:25:00,3,TN,47,12,1,0,0,0,0,35.42,-84.62,35.42,-84.62,3,200,0.000146
24670,490,1995,5,18,5/18/1995,17:21:00,3,TN,47,31,3,20,0,6,0,35.8,-85.2,35.95,-85.03,9,100,0.226716
24674,493,1995,5,18,5/18/1995,17:50:00,3,TN,47,33,0,0,0,0,0,36.03,-84.42,36.03,-84.42,0.5,23,0.000147
24678,501,1995,5,18,5/18/1995,18:45:00,3,TN,47,34,0,0,0,3,0,35.67,-85.37,35.67,-85.37,0.1,10,0.000146
24685,502,1995,5,18,5/18/1995,19:30:00,3,TN,47,35,1,0,0,4,0,35.97,-84.98,35.97,-84.98,2,23,0.000147
24687,503,1995,5,18,5/18/1995,20:00:00,3,TN,47,36,1,0,0,4,0,35.97,-83.93,35.97,-83.93,2,23,0.000147
24691,506,1995,5,18,5/18/1995,21:00:00,3,TN,47,37,0,0,0,4,0,35.77,-84.2,35.77,-84.2,1,20,0.000147
24711,59,1996,3,16,3/16/1996,16:05:00,3,TN,47,2,2,1,0,5.5,0,36.38,-85.33,36.4,-85.22,6,400,0.111803
24714,57,1996,3,16,3/16/1996,16:30:00,3,TN,47,3,0,0,0,0.15,0,36.47,-84.87,36.38,-84.88,7,100,0.090554
24719,58,1996,3,16,3/16/1996,17:15:00,3,TN,47,4,0,1,0,0.16,0,36.5,-84.52,36.5,-84.52,1,100,0
24743,1053,1990,10,4,10/4/1990,7:15:00,3,TN,47,10,1,0,0,5,0,35.05,-85.28,35.05,-85.28,1.8,23,0.000146
24756,238,1996,5,27,5/27/1996,17:28:00,3,TN,47,9,0,0,0,0,0,35.17,-84.88,35.15,-84.82,3.5,30,0.063246
24945,25,1993,2,21,2/21/1993,14:35:00,3,TN,47,2,0,0,0,5,0,35.95,-84.97,35.9,-84.88,5,23,0.102956
24991,102,1997,3,28,3/28/1997,21:55:00,3,TN,47,26,2,2,0,0.25,0,36.37,-85.33,36.4,-85.22,5.9,440,0.114018
25250,609,1994,6,26,6/26/1994,18:00:00,3,TN,47,12,0,0,0,4,0,35.42,-85.98,35.45,-85.93,3,50,0.05831
25252,613,1994,6,26,6/26/1994,18:30:00,3,TN,47,16,2,6,0,5,0,35.43,-85.82,35.43,-85.73,4,50,0.09
25255,616,1994,6,26,6/26/1994,19:30:00,3,TN,47,19,1,0,0,4,0,35.13,-86.2,35.22,-86.08,8,200,0.15
25263,36,1995,1,28,1/28/1995,15:55:00,3,TN,47,1,1,0,0,4,0,35.75,-86.55,35.78,-86.5,3,50,0.05831
25266,63,1995,3,7,3/7/1995,13:26:00,3,TN,47,3,0,0,0,4,0,36.48,-86.32,36.48,-86.32,0.2,10,0.000147
25270,67,1995,3,7,3/7/1995,19:30:00,3,TN,47,4,0,0,0,4,0,35.02,-85.72,35.02,-85.72,0.2,10,0.000145
25274,193,1995,4,20,4/20/1995,22:55:00,3,TN,47,6,1,0,0,5,0,35.13,-86.2,35.17,-86.15,3,30,0.064031
25280,194,1995,4,21,4/21/1995,0:18:00,3,TN,47,7,1,1,0,4,0,35.03,-85.55,35.07,-85.45,5,23,0.107703
25285,324,1995,5,10,5/10/1995,16:00:00,3,TN,47,11,0,1,0,5,0,35.2,-85.53,35.2,-85.53,1,20,0.000146
25301,375,1995,5,14,5/14/1995,3:55:00,3,TN,47,13,0,0,0,4,0,36.13,-85.53,36.13,-85.53,0.5,20,0.000147
25303,439,1995,5,18,5/18/1995,11:30:00,3,TN,47,16,2,28,0,6,0,36.3,-86.72,36.4,-86.45,15,73,0.287924
25304,448,1995,5,18,5/18/1995,12:15:00,3,TN,47,17,1,0,0,5,0,36.47,-86.18,36.47,-86.18,1,23,0.000147
25309,475,1995,5,18,5/18/1995,15:55:00,3,TN,47,24,0,4,0,4,0,35.75,-86.65,35.75,-86.55,8,73,0.1
25318,480,1995,5,18,5/18/1995,16:30:00,3,TN,47,25,0,0,0,3,0,35.85,-85.8,35.82,-85.8,2,23,0.03
25323,486,1995,5,18,5/18/1995,16:52:00,3,TN,47,28,1,0,0,3,0,36.37,-86.7,36.5,-86.63,3,23,0.147648
25326,487,1995,5,18,5/18/1995,17:00:00,3,TN,47,29,1,1,0,5,0,35.48,-86.47,35.45,-86.18,16,50,0.291548
25330,492,1995,5,18,5/18/1995,17:30:00,3,TN,47,32,0,0,0,4,0,35.48,-86.08,35.48,-86.08,1,20,0.000146
25386,347,1996,6,9,6/9/1996,2:35:00,3,TN,47,10,1,0,0,0.15,0,36.2,-86.27,36.18,-86.25,2.4,450,0.028284
25406,967,1996,11,7,11/7/1996,16:00:00,3,TN,47,14,2,1,0,0.5,0,35.05,-86.3,35.13,-86.2,7.9,175,0.128063
25409,968,1996,11,7,11/7/1996,16:17:00,3,TN,47,15,1,0,0,0,0,35.22,-86.08,35.22,-86.08,0.1,18,0
25411,969,1996,11,7,11/7/1996,16:22:00,3,TN,47,16,1,0,0,0,0,35.25,-86,35.25,-86,0.1,18,0
25413,970,1996,11,7,11/7/1996,16:24:00,3,TN,47,17,1,0,0,0,0,35.27,-85.97,35.27,-85.97,0.1,18,0
25416,61,1997,1,24,1/24/1997,16:37:00,3,TN,47,1,2,0,0,0.5,0,35.98,-86.53,35.98,-86.45,4.8,440,0.08
25420,59,1997,1,24,1/24/1997,16:38:00,3,TN,47,2,1,0,0,0.1,0,35.45,-86.7,35.53,-86.7,2.4,60,0.08
25423,60,1997,1,24,1/24/1997,16:50:00,3,TN,47,3,2,0,0,0.25,0,35.13,-86.78,35.18,-86.73,4.2,200,0.070711
25426,50,1997,1,24,1/24/1997,16:53:00,3,TN,47,5,2,3,0,2,0,36.03,-86.37,36.1,-86.17,10.7,400,0.211896
25429,58,1997,1,24,1/24/1997,16:53:00,3,TN,47,4,2,0,0,0.25,0,35.48,-86.63,35.52,-86.6,2.8,440,0.05
25433,62,1997,1,24,1/24/1997,17:00:00,3,TN,47,6,4,18,0,4.7,0,35.78,-86.5,35.83,-86.38,6.5,300,0.13
25436,54,1997,1,24,1/24/1997,17:23:00,3,TN,47,7,2,1,0,0.01,0,36.08,-86.03,36.1,-86,2,220,0.036056
25438,28,1990,2,9,2/9/1990,22:13:00,3,TN,47,2,1,0,0,4,0,35.27,-86.13,35.27,-86.13,2.5,43,0.000146
25440,56,1997,1,24,1/24/1997,17:28:00,3,TN,47,8,2,6,0,1,0,36.12,-86.03,36.2,-85.8,14,440,0.243516
25441,29,1990,2,9,2/9/1990,22:25:00,3,TN,47,3,1,0,0,3,0,35.28,-85.98,35.28,-85.98,2.2,50,0.000146
25443,53,1997,1,24,1/24/1997,17:33:00,3,TN,47,9,2,2,0,0.15,0,35.87,-86.03,35.92,-86,3.2,440,0.05831
25445,51,1997,1,24,1/24/1997,17:36:00,3,TN,47,10,0,0,0,0,0,36.58,-86.55,36.58,-86.55,0.3,10,0
25452,57,1997,1,24,1/24/1997,17:45:00,3,TN,47,11,1,0,0,0.001,0,36.13,-85.78,36.2,-85.62,13,200,0.174643
25459,55,1997,1,24,1/24/1997,17:48:00,3,TN,47,12,2,0,0,0.25,0,35.97,-85.85,36.03,-85.75,7.3,440,0.116619
25465,52,1997,1,24,1/24/1997,18:08:00,3,TN,47,13,2,0,0,0.5,0,36.25,-85.53,36.28,-85.48,3.2,70,0.05831
25531,990,1992,8,27,8/27/1992,15:00:00,3,TN,47,5,0,4,0,3,0,35.45,-86.8,35.45,-86.8,0.2,13,0.000146
25532,993,1992,8,27,8/27/1992,17:50:00,3,TN,47,6,0,0,0,4,0,36.12,-86.42,36.12,-86.42,0.5,30,0.000147
25553,101,1997,3,28,3/28/1997,18:06:00,3,TN,47,22,0,0,0,0,0,36.38,-86.72,36.38,-86.7,0.5,200,0.02
25556,21,1998,1,7,1/7/1998,12:45:00,3,TN,47,1,1,0,0,0.25,0,35.48,-85.95,35.52,-85.97,0.5,30,0.044721
25560,942,1998,4,3,4/3/1998,14:58:00,3,TN,47,5,2,0,0,0.2,0,36.45,-86.48,36.4,-86.32,15.8,200,0.167631
25565,227,1998,4,3,4/3/1998,15:12:00,3,TN,47,6,1,0,0,0.25,0,36.35,-86.43,36.37,-86.37,4.6,100,0.063246
25569,104,1997,3,28,3/28/1997,21:17:00,3,TN,47,25,1,0,0,0.05,0,36.25,-85.98,36.25,-85.97,1,20,0.01
25572,103,1997,3,28,3/28/1997,22:38:00,3,TN,47,27,0,0,0,0,0,35.42,-85.98,35.42,-85.98,0.5,20,0
25574,105,1997,3,28,3/28/1997,23:33:00,3,TN,47,28,2,0,0,0.1,0,35.47,-85.55,35.48,-85.45,6,440,0.100499
25575,995,1992,8,27,8/27/1992,18:50:00,3,TN,47,7,0,0,0,4,0,36.17,-86.37,36.17,-86.37,0.2,13,0.000147
25579,224,1997,5,2,5/2/1997,17:00:00,3,TN,47,32,2,0,0,0.06,0,35.02,-86.27,35,-86.25,0.9,150,0.028284
25583,941,1998,4,3,4/3/1998,16:08:00,3,TN,47,7,2,0,0,0.1,0,36.47,-85.77,36.5,-85.6,10,200,0.172627
25590,923,1998,4,8,4/8/1998,19:00:00,3,TN,47,10,1,0,0,0.05,0,35.48,-86.08,35.48,-86.07,1,200,0.01
25595,928,1998,4,16,4/16/1998,11:35:00,3,TN,47,17,2,0,0,0.01,0,36.43,-85.83,36.43,-85.85,3,800,0.02
25599,930,1998,4,16,4/16/1998,14:30:00,3,TN,47,19,3,60,1,101,0,36.07,-86.92,36.37,-86.12,42.1,880,0.854401
25609,933,1998,4,16,4/16/1998,15:20:00,3,TN,47,20,2,0,0,3.05,0,36.18,-86.68,36.27,-86.23,27.7,880,0.458912
25615,24,1993,2,21,2/21/1993,13:52:00,3,TN,47,1,3,6,0,5,0,36.17,-85.6,36.1,-85.43,10,100,0.183848
25620,224,1998,4,16,4/16/1998,16:15:00,3,TN,47,23,2,0,0,0.5,0,36.13,-86.83,36.15,-86.82,1,800,0.022361
25622,501,1998,6,2,6/2/1998,2:15:00,3,TN,47,28,1,0,0,1.6,0,35.95,-86.5,35.95,-86.48,1,200,0.02
25634,503,1998,6,30,6/30/1998,2:09:00,3,TN,47,31,1,0,0,0.02,0,36.05,-86.75,36.05,-86.73,1.2,100,0.02
25637,1036,1999,5,5,5/5/1999,20:45:00,3,TN,47,23,1,0,0,0.01,0,36.23,-86.68,36.23,-86.68,0.1,100,0
25638,1035,1999,5,5,5/5/1999,20:58:00,3,TN,47,22,1,0,0,0.001,0,36.3,-86.8,36.3,-86.8,0.1,100,0
25640,1034,1999,5,5,5/5/1999,21:36:00,3,TN,47,21,2,17,0,1,0,36.38,-86.47,36.4,-86.45,0.7,220,0.028284
25646,628,1999,8,12,8/12/1999,16:00:00,3,TN,47,1,0,0,0,0,0,35.97,-86.55,35.97,-86.55,0.1,0,0
26002,59,1998,3,8,3/8/1998,16:05:00,3,TN,47,2,0,0,0,0,0,35.5,-86.9,35.5,-86.88,1,220,0.02
26004,226,1998,4,3,4/3/1998,14:10:00,3,TN,47,3,2,0,0,0.1,0,36.47,-87.4,36.53,-87.32,6.4,200,0.1
